id,category,name,description,preview_url,markdown_snippet,setup_guide,where_to_place
badge-prs,Badges & Shields,PRs Welcome,Shows that pull requests are welcome,https://img.shields.io/badge/PRs-welcome-brightgreen?style=for-the-badge,"![PRs Welcome](https://img.shields.io/badge/PRs-welcome-brightgreen?style=for-the-badge)",No setup needed|Copy the markdown snippet|Paste in your repo README or profile|Signals open collaboration,BOTTOM
badge-repo-size,Badges & Shields,Repo Size Badge,Shows the size of a repository,https://img.shields.io/github/repo-size/{username}/{username}?style=for-the-badge&color=8b5cf6,"![Repo Size](https://img.shields.io/github/repo-size/{username}/{username}?style=for-the-badge&color=8b5cf6)",No setup needed|Copy the markdown|Replace {username} with your username and repo name|Badge shows repo size in KB/MB,SKILLS SECTION
badge-license,Badges & Shields,License Badge,Shows the license of a repository,https://img.shields.io/github/license/{username}/{username}?style=for-the-badge&color=059669,"![License](https://img.shields.io/github/license/{username}/{username}?style=for-the-badge&color=059669)",Ensure your repo has a LICENSE file|Copy the markdown|Replace {username} with your username/repo|Badge auto-detects license type,BOTTOM
contrib-graph-tokyo,Contribution Graph,Activity Graph Tokyo Night,Contribution graph with Tokyo Night theme,https://github-readme-activity-graph.vercel.app/graph?username={username}&theme=tokyo-night&hide_border=true,"[![graph](https://github-readme-activity-graph.vercel.app/graph?username={username}&theme=tokyo-night)](https://github.com/{username})",No setup needed|Copy the markdown|Replace {username} with your GitHub username|Graph shows your contribution activity over the past year,SKILLS SECTION
contrib-graph-dracula,Contribution Graph,Activity Graph Dracula,Contribution graph with Dracula theme,https://github-readme-activity-graph.vercel.app/graph?username={username}&theme=dracula&hide_border=true,"[![graph](https://github-readme-activity-graph.vercel.app/graph?username={username}&theme=dracula)](https://github.com/{username})",No setup needed|Copy the markdown|Replace {username}|Dracula theme with purple accents,SKILLS SECTION
contrib-graph-github,Contribution Graph,Activity Graph GitHub,Contribution graph with GitHub compact theme,https://github-readme-activity-graph.vercel.app/graph?username={username}&theme=github-compact&hide_border=true,"[![graph](https://github-readme-activity-graph.vercel.app/graph?username={username}&theme=github-compact)](https://github.com/{username})",No setup needed|Copy the markdown|Replace {username}|Clean GitHub-style graph,SKILLS SECTION
snake-dark,Contribution Graph,Snake Animation Dark,Dark theme snake eating your contribution graph,https://raw.githubusercontent.com/platane/snk/output/github-contribution-grid-snake-dark.svg,"![Snake animation](https://raw.githubusercontent.com/{username}/{username}/output/github-contribution-grid-snake-dark.svg)",1. Go to your GitHub profile repo ({username}/{username})|2. Create folder .github/workflows/|3. Create file snake.yml with the GitHub Action content using platane/snk@v3|4. Go to repo Settings → Actions → General → Allow all actions|5. Run the action manually once from the Actions tab|6. Add the markdown to your README,BOTTOM
trophies-flat,Achievements & Trophies,GitHub Trophies Flat,Flat trophy display for your GitHub achievements,https://github-profile-trophy.vercel.app/?username={username}&theme=flat&no-frame=true&row=1&column=7,"![Trophies](https://github-profile-trophy.vercel.app/?username={username}&theme=flat&no-frame=true&row=1&column=7)",No setup needed|Copy the markdown|Replace {username}|Trophies update based on your GitHub activity|Change column count to control layout,SKILLS SECTION
trophies-onedark,Achievements & Trophies,GitHub Trophies OneDark,OneDark themed trophy display,https://github-profile-trophy.vercel.app/?username={username}&theme=onedark&no-frame=true&row=1&column=7,"![Trophies](https://github-profile-trophy.vercel.app/?username={username}&theme=onedark&no-frame=true&row=1&column=7)",No setup needed|Copy the markdown|Replace {username}|Dark themed trophies|Adjust row and column count,SKILLS SECTION
views-flat,Profile Views,Komarev Counter Flat,Flat style profile views counter badge,https://komarev.com/ghpvc/?username={username}&style=flat&color=6366f1,"![Profile Views](https://komarev.com/ghpvc/?username={username}&style=flat&color=6366f1)",No setup needed|Copy the markdown|Replace {username} with your GitHub username|Counter auto-increments on each profile visit|Change color to any hex code,AFTER BIO
views-badge,Profile Views,Komarev Counter Plastic,Plastic style profile views counter,https://komarev.com/ghpvc/?username={username}&style=plastic&color=6366f1&label=PROFILE+VIEWS,"![Profile Views](https://komarev.com/ghpvc/?username={username}&style=plastic&color=6366f1&label=PROFILE+VIEWS)",No setup needed|Copy the markdown snippet|Replace {username}|Change label text after label=|Choose style: flat or plastic or flat-square,AFTER BIO
views-forthebadge,Profile Views,Komarev For-the-Badge,Large for-the-badge style view counter,https://komarev.com/ghpvc/?username={username}&style=for-the-badge&color=6366f1,"![Profile Views](https://komarev.com/ghpvc/?username={username}&style=for-the-badge&color=6366f1)",No setup needed|Copy the markdown|Replace {username}|Uses the for-the-badge style for larger display|Change color hex as desired,AFTER BIO
quote-daily,Quotes & Fun,Dev Quote of the Day,Random developer quote that changes daily,https://quotes-github-readme.vercel.app/api?type=horizontal&theme=dark,"![Dev Quote](https://quotes-github-readme.vercel.app/api?type=horizontal&theme=dark)",No setup needed|Copy the markdown snippet|Quote changes on each page load|Change theme= to light or dark|Change type= to horizontal or vertical,BOTTOM
joke-random,Quotes & Fun,Random Joke Generator,Displays a random programming joke,https://readme-jokes.vercel.app/api?theme=default,"![Jokes Card](https://readme-jokes.vercel.app/api?theme=default)",No setup needed|Copy the markdown|Shows a new joke on each visit|Change theme to dark_mode or ice or halloween,BOTTOM
jokes-badge,Quotes & Fun,Readme Jokes Badge,Small badge that links to a joke page,https://img.shields.io/badge/😂-Readme%20Jokes-blue?style=for-the-badge,"![Readme Jokes](https://img.shields.io/badge/😂-Readme%20Jokes-blue?style=for-the-badge)",No setup needed|Copy the markdown snippet|Paste anywhere in your README|Links to joke content,BOTTOM
meme-random,Quotes & Fun,Random Meme,Shows a random programming meme,https://img.shields.io/badge/😂-Random%20Meme-ff69b4?style=for-the-badge,"![Meme](https://randommeme-five.vercel.app/)",No setup needed|Copy the markdown|Shows a random programming meme|Meme changes on each page load,BOTTOM
spotify-now,Music & Activity,Spotify Now Playing,Shows your currently playing Spotify track,https://img.shields.io/badge/Spotify-Now%20Playing-1DB954?style=for-the-badge&logo=spotify&logoColor=white,"![Spotify](https://spotify-github-profile.kittinanx.com/api/view?uid=YOUR_SPOTIFY_ID&cover_image=true)",1. Go to spotify-github-profile.kittinanx.com|2. Log in with your Spotify account|3. Authorize the application|4. Copy your unique widget URL|5. Replace the URL in the markdown with your personal URL,AFTER BIO
wakatime-bar,Music & Activity,WakaTime Weekly Chart,Shows your weekly coding activity bar chart,https://github-readme-stats.vercel.app/api/wakatime?username={username}&layout=compact&theme=tokyonight,"![WakaTime Stats](https://github-readme-stats.vercel.app/api/wakatime?username={username}&layout=compact&theme=tokyonight)",1. Create account at wakatime.com|2. Install WakaTime plugin in your IDE|3. Set your WakaTime username|4. Replace {username} in the URL|5. Stats appear after 1 day of coding,SKILLS SECTION
streak-fire,Music & Activity,Streak Fire Banner,Custom fire-themed streak stats banner,https://streak-stats.demolab.com?user={username}&theme=highcontrast&fire=FF6600,"![Streak Fire](https://streak-stats.demolab.com?user={username}&theme=highcontrast&fire=FF6600)",No setup needed|Copy the markdown|Replace {username} with your GitHub username|Change theme to any supported theme name|Customize fire color with hex code,SKILLS SECTION
blog-post-workflow,Dynamic Content,Blog Post Workflow,Auto-update README with latest blog posts,https://img.shields.io/badge/📝-Blog%20Posts-orange?style=for-the-badge,"<!-- BLOG-POST-LIST:START -->\n<!-- BLOG-POST-LIST:END -->",1. Create .github/workflows/blog-post-workflow.yml|2. Use gautamkrishnar/blog-post-workflow action|3. Add your blog RSS feed URL to the workflow|4. Add the HTML comments to your README where posts should appear|5. Action runs daily and updates your README,BOTTOM
github-readme-medium,Dynamic Content,Medium Articles,Auto-update README with latest Medium articles,https://img.shields.io/badge/📰-Medium%20Articles-black?style=for-the-badge,"[![Medium](https://github-readme-medium-recent-article.vercel.app/medium/@{username}/0)](https://medium.com/@{username})",1. Replace {username} with your Medium username|2. The number at the end (0) is the article index|3. Use 0 for latest 1 for second latest etc|4. No GitHub Actions needed — updates automatically,BOTTOM
github-readme-youtube,Dynamic Content,YouTube Cards,Shows your latest YouTube videos as cards,https://img.shields.io/badge/🎬-YouTube%20Videos-red?style=for-the-badge,"<!-- YOUTUBE:START -->\n<!-- YOUTUBE:END -->",1. Create .github/workflows/youtube-workflow.yml|2. Use DenverCoder1/github-readme-youtube-cards action|3. Add your YouTube channel ID|4. Action generates video cards automatically|5. Add the HTML comments to your README,BOTTOM
github-readme-twitter,Dynamic Content,Twitter Cards,Shows your latest tweets in README,https://img.shields.io/badge/🐦-Latest%20Tweets-1DA1F2?style=for-the-badge,"[![Twitter](https://github-readme-twitter-gazf.vercel.app/api?id={username}&layout=wide)](https://twitter.com/{username})",1. Replace {username} with your Twitter handle|2. No setup needed — works instantly|3. Shows your latest tweet|4. Change layout to wide or compact,AFTER BIO
profile-summary,Dynamic Content,Profile Summary Cards,Auto-generated summary cards of your GitHub profile,https://img.shields.io/badge/📊-Profile%20Summary-blue?style=for-the-badge,"![](https://github-profile-summary-cards.vercel.app/api/cards/profile-details?username={username}&theme=tokyonight)",No setup needed|Replace {username} with your GitHub username|Multiple card types available|Change theme to match your profile style,SKILLS SECTION
stackoverflow,Social & External,Stack Overflow Stats,Shows your Stack Overflow reputation and badges,https://img.shields.io/badge/Stack%20Overflow-Stats-F58025?style=for-the-badge&logo=stackoverflow,"[![Stack Overflow](https://github-readme-stackoverflow.vercel.app/?userID=YOUR_ID)](https://stackoverflow.com/users/YOUR_ID)",1. Find your Stack Overflow user ID from your profile URL|2. Replace YOUR_ID with your numeric user ID|3. No other setup needed|4. Stats update automatically,AFTER BIO
dev-card,Social & External,Dev.to Card,Shows your Dev.to profile stats,https://img.shields.io/badge/Dev.to-Profile-0A0A0A?style=for-the-badge&logo=devdotto,"[![Dev Card](https://api.daily.dev/devcards/v2/{username}.png?type=wide&r=n7l)](https://app.daily.dev/{username})",1. Create a daily.dev account|2. Link your Dev.to profile|3. Get your DevCard URL from daily.dev settings|4. Replace {username} with your daily.dev username,AFTER BIO
hashnode-blog,Social & External,Hashnode Blog Badge,Links to your Hashnode blog,https://img.shields.io/badge/Hashnode-Blog-2962FF?style=for-the-badge&logo=hashnode,"[![Hashnode](https://img.shields.io/badge/Hashnode-2962FF?style=for-the-badge&logo=hashnode&logoColor=white)](https://{username}.hashnode.dev)",No setup needed|Replace {username} with your Hashnode username|Links directly to your blog|Change badge style if preferred,AFTER BIO
producthunt,Social & External,Product Hunt Badge,Links to your Product Hunt profile,https://img.shields.io/badge/Product%20Hunt-DA552F?style=for-the-badge&logo=producthunt&logoColor=white,"[![Product Hunt](https://img.shields.io/badge/Product%20Hunt-DA552F?style=for-the-badge&logo=producthunt&logoColor=white)](https://www.producthunt.com/@{username})",No setup needed|Replace {username} with your Product Hunt username|Links to your PH profile|Great for showcasing launched products,AFTER BIO
leetcode-stats,Competitive Programming,LeetCode Stats,Shows your LeetCode profile statistics,https://img.shields.io/badge/LeetCode-Stats-FFA116?style=for-the-badge&logo=leetcode,"![LeetCode Stats](https://leetcard.jacoblin.cool/{username}?theme=dark&font=Karma&ext=contest)",1. Replace {username} with your LeetCode username|2. No other setup needed|3. Shows solved problems rating and contest info|4. Change theme to light or dark|5. Multiple font options available,SKILLS SECTION
codeforces-stats,Competitive Programming,Codeforces Stats,Shows your Codeforces rating and rank,https://img.shields.io/badge/Codeforces-Stats-1F8ACB?style=for-the-badge&logo=codeforces,"![Codeforces Stats](https://codeforces-readme-stats.vercel.app/api/card?username={username}&theme=github_dark)",1. Replace {username} with your Codeforces handle|2. No setup needed|3. Shows your rating max rating and rank|4. Change theme as desired,SKILLS SECTION
hackerrank-badge,Competitive Programming,HackerRank Badge,Links to your HackerRank profile,https://img.shields.io/badge/HackerRank-Profile-00EA64?style=for-the-badge&logo=hackerrank,"[![HackerRank](https://img.shields.io/badge/HackerRank-00EA64?style=for-the-badge&logo=hackerrank&logoColor=white)](https://www.hackerrank.com/{username})",No setup needed|Replace {username} with your HackerRank username|Links to your profile|Shows your badges and certifications,AFTER BIO
codechef-badge,Competitive Programming,CodeChef Badge,Links to your CodeChef profile,https://img.shields.io/badge/CodeChef-Profile-5B4638?style=for-the-badge&logo=codechef,"[![CodeChef](https://img.shields.io/badge/CodeChef-5B4638?style=for-the-badge&logo=codechef&logoColor=white)](https://www.codechef.com/users/{username})",No setup needed|Replace {username} with your CodeChef username|Links directly to your profile,AFTER BIO
atcoder-badge,Competitive Programming,AtCoder Badge,Links to your AtCoder profile,https://img.shields.io/badge/AtCoder-Profile-222222?style=for-the-badge,"[![AtCoder](https://img.shields.io/badge/AtCoder-222222?style=for-the-badge)](https://atcoder.jp/users/{username})",No setup needed|Replace {username} with your AtCoder username|Links to your AtCoder profile,AFTER BIO
snake-workflow,GitHub Actions,Snake Contribution,Snake animation via GitHub Actions workflow,https://img.shields.io/badge/🐍-Snake%20Animation-green?style=for-the-badge,"![Snake animation](https://raw.githubusercontent.com/{username}/{username}/output/github-contribution-grid-snake-dark.svg)",1. Go to your GitHub profile repo ({username}/{username})|2. Create .github/workflows/snake.yml|3. Add the platane/snk@v3 action with generate and push steps|4. Set output branch to 'output'|5. Go to Settings → Actions → General → Allow all actions|6. Run the action manually once from the Actions tab,BOTTOM
metrics-workflow,GitHub Actions,Metrics Workflow,Advanced GitHub metrics via Actions,https://img.shields.io/badge/📊-Metrics-blue?style=for-the-badge,"![Metrics](https://raw.githubusercontent.com/{username}/{username}/main/github-metrics.svg)",1. Go to github.com/lowlighter/metrics|2. Use the configurator at metrics.lecoq.io/{username}|3. Generate a Personal Access Token with repo scope|4. Add token as METRICS_TOKEN secret in your repo|5. Create .github/workflows/metrics.yml with lowlighter/metrics action|6. Run and add generated SVG to README,BOTTOM
blog-workflow,GitHub Actions,Blog Post Workflow,Auto-update README with latest blog posts,https://img.shields.io/badge/📝-Blog%20Posts-orange?style=for-the-badge,"<!-- BLOG-POST-LIST:START -->\n<!-- BLOG-POST-LIST:END -->",1. Create .github/workflows/blog-post-workflow.yml|2. Use gautamkrishnar/blog-post-workflow@v1 action|3. Set feed_list with your blog RSS URL|4. Add the START/END comments to your README|5. Action runs on schedule and updates post list automatically,BOTTOM
